"skill_id","skills","demand_count","avg_salary"
1,"python","763","143828"
0,"sql","591","142833"
5,"r","394","137885"
182,"tableau","219","146970"
76,"aws","217","149630"
92,"spark","149","150188"
99,"tensorflow","126","151536"
74,"azure","122","142306"
101,"pytorch","115","152603"
93,"pandas","113","144816"
186,"sas","110","129920"
7,"sas","110","129920"
97,"hadoop","82","143322"
106,"scikit-learn","81","148964"
181,"excel","77","129224"
94,"numpy","73","149089"
183,"power bi","72","131390"
80,"snowflake","72","152687"
4,"java","64","145706"
75,"databricks","63","139631"
81,"gcp","59","155811"
210,"git","58","132599"
185,"looker","57","158715"
8,"go","57","164691"
3,"scala","56","156702"
